date,open,high,low,close,volume,ex_rate,
20181212,2062.77,2084.77,2061.13,2082.57,457126,1128.5,
20181211,2058.16,2060.94,2047.17,2052.97,273932,1130.1,
20181210,2048.45,2061.78,2043.21,2053.79,344164,1126.5,
20181207,2081.68,2086.84,2065.62,2075.76,371590,1119.8,
20181206,2094.62,2094.62,2064,2068.69,537409,1120.3,
20181205,2086.57,2107.69,2086.57,2101.31,492716,1114.1,
20181204,2125.67,2128.94,2105.45,2114.35,507517,1105.3,
20181203,2127.78,2136.64,2113.6,2131.93,436588,1110.7,
20181130,2116.83,2122.33,2093.83,2096.86,427354,1121.2,
20181129,2133.95,2136.74,2108.9,2114.1,307230,1119.2,
20181128,2104.13,2108.65,2094.32,2108.22,300075,1126.5,
20181127,2091.75,2102.29,2079.49,2099.42,239211,1129.4,
20181126,2060.17,2083.96,2060.17,2083.02,237710,1128.9,
20181123,2073.26,2075.91,2047.96,2057.48,227202,1130.5,
20181122,2079.01,2081.75,2066.2,2069.95,242498,1129.2,
20181121,2057.07,2077.49,2049.76,2076.55,267903,1131.6,
20181120,2074.67,2089.54,2074.67,2082.58,281685,1125.8,
20181119,2096.13,2111.39,2089.37,2100.56,273198,1128.6,
20181116,2097.94,2103.11,2086.54,2092.4,301604,1128.5,
20181115,2061.47,2088.61,2058.73,2088.06,351042,1129.2,
20181114,2071.41,2075.12,2060.86,2068.05,339046,1134.3,
20181113,2047.62,2072.03,2032.05,2071.23,383421,1133.3,
20181112,2065.92,2087.24,2065.52,2080.44,295528,1133.9,
20181109,2093.89,2101.92,2082.47,2086.09,298072,1128.3,
20181108,2109.97,2120.88,2092.36,2092.63,328034,1117.3,
20181107,2090.32,2107.63,2072.48,2078.69,485225,1123.3,
20181106,2085.81,2092.61,2068.59,2089.62,315816,1123.8,
20181105,2079.81,2080.49,2052.67,2076.92,361302,1123.5,
20181102,2046.61,2096.63,2044.94,2096,371978,1121.6,
20181101,2035.11,2054.22,2023.43,2024.46,343813,1138.1,
20181031,2022.84,2030.5,2006.63,2029.69,373027,1139.6,
20181030,1985.95,2028.84,1985.95,2014.69,441585,1139.2,
20181029,2026.68,2045.76,1993.77,1996.05,427304,1141.4,
20181026,2066.57,2066.57,2008.86,2027.15,449197,1141.9,
20181025,2046.67,2066.06,2033.81,2063.3,376014,1138,
20181024,2119.19,2121.36,2092.1,2097.58,399734,1132.3,
20181023,2147.3,2148.8,2094.69,2106.1,373468,1137.6,
20181022,2143.08,2163.21,2136.92,2161.71,308740,1128.4,
20181019,2130.06,2158.78,2117.62,2156.26,351771,1132.1,
20181018,2158.8,2168.01,2146.61,2148.31,321762,1135.2,
20181017,2169.44,2182.77,2159.37,2167.51,275159,1126.5,
20181016,2156,2161.76,2140.19,2145.12,222512,1128,
20181015,2155.34,2159.23,2141.28,2145.12,259176,1134.3,
20181012,2131.66,2173.01,2129.13,2161.85,292573,1131.4,
20181011,2176.16,2186.69,2129.67,2129.67,411919,1144.4,
20181010,2256.03,2257.52,2222.95,2228.61,365683,1134,
20181008,2258.73,2273.71,2253.83,2253.83,214644,1132.7,
20181005,2269.94,2278.12,2250.99,2267.52,282139,1130.4,
20181004,2311.06,2311.06,2270.22,2274.49,309502,1129.9,
20181002,2338.28,2341.55,2308.9,2309.57,287868,1119.2,
20181001,2349.64,2352.11,2333.32,2338.88,278310,1111.8,
20180928,2356.13,2356.62,2337.47,2343.07,317870,1109.3,
20180927,2331.7,2355.43,2331.7,2355.43,279230,1112.5,
20180921,2332.04,2339.17,2325.12,2339.17,321703,1115.3,
20180920,2314.41,2334.04,2311.56,2323.45,289085,1120.4,
20180919,2319.22,2319.22,2301.79,2308.46,350949,1121.1,
20180918,2287.73,2310.97,2287.42,2308.98,309235,1123.2,
